timestamp,heart_rate,rr_ms,rmssd,emotion
1750741827.235519,65,[907.2265625],38.50,鎮静系
1750741828.2235913,65,[846.6796875],45.03,鎮静系
1750741829.3067362,66,[854.4921875],40.43,鎮静系
1750741830.251324,66,[907.2265625],42.73,鎮静系
1750741831.2415564,66,[869.140625],42.10,鎮静系
1750741832.2318757,66,"[869.140625, 922.8515625]",41.22,鎮静系
1750741833.2654722,66,[869.140625],43.11,鎮静系
1750741834.2559183,67,[884.765625],43.14,鎮静系
1750741835.2417119,67,[937.5],43.14,鎮静系
1750741836.2361457,67,[854.4921875],47.11,鎮静系
1750741837.2196293,67,[861.328125],47.10,鎮静系
1750741847.249501,72,"[754.8828125, 800.78125, 854.4921875, 777.34375]",62.47,鎮静系
1750741848.251552,72,[838.8671875],63.26,鎮静系
1750741866.246909,80,"[716.796875, 800.78125, 739.2578125, 785.15625, 785.15625]",68.78,鎮静系
1750741875.247344,75,"[754.8828125, 808.59375, 777.34375, 1067.3828125, 785.15625]",142.01,鎮静系
1750741876.2354014,74,[861.328125],141.52,鎮静系
1750741877.2752006,71,[907.2265625],140.86,鎮静系
1750741878.3540115,70,[792.96875],145.11,鎮静系
1750741879.2999475,69,[762.6953125],145.46,鎮静系
1750741880.2342556,68,[777.34375],145.19,鎮静系
1750741881.2370598,68,[876.953125],147.86,鎮静系
1750741882.2664475,69,[983.3984375],151.70,鎮静系
1750741883.2608953,70,"[945.3125, 808.59375]",83.99,鎮静系
1750741884.2518477,69,[777.34375],80.74,鎮静系
1750741885.2418873,67,[732.421875],80.67,鎮静系
1750741886.274627,66,[762.6953125],71.83,鎮静系
1750741887.2623591,67,"[800.78125, 762.6953125]",73.19,鎮静系
1750741888.252418,68,[708.984375],67.63,鎮静系
1750741889.245422,70,[701.171875],57.64,鎮静系
1750741890.2315397,72,"[716.796875, 884.765625]",65.16,鎮静系
1750741894.2343137,76,[846.6796875],65.57,鎮静系
1750741895.2745051,76,[937.5],70.65,鎮静系
1750741896.2638032,76,"[953.125, 915.0390625]",70.12,鎮静系
1750741897.2514482,76,[892.578125],69.36,鎮静系
1750741898.2439938,75,[854.4921875],68.20,鎮静系
1750741899.2358382,74,[815.4296875],69.39,鎮静系
1750741900.271451,71,[770.5078125],70.79,鎮静系
1750741901.2616434,70,[792.96875],43.97,鎮静系
1750741902.2517807,70,"[808.59375, 815.4296875]",29.79,分類不能
1750741916.2444353,74,"[854.4921875, 815.4296875, 846.6796875, 892.578125]",34.11,鎮静系
1750741917.225152,74,[892.578125],31.53,鎮静系
1750741918.2718816,74,[876.953125],28.23,分類不能
1750741922.2766035,69,[838.8671875],30.04,鎮静系
1750741943.2471225,78,"[747.0703125, 747.0703125, 762.6953125, 701.171875, 724.609375]",43.21,鎮静系
1750741948.2410479,80,"[655.2734375, 640.625, 777.34375, 708.984375]",67.82,鎮静系
1750741949.2755747,80,[869.140625],80.70,鎮静系
1750741950.2657225,80,[777.34375],86.31,鎮静系
1750741951.2581668,79,[823.2421875],87.50,鎮静系
1750741961.2463045,77,"[846.6796875, 800.78125, 831.0546875, 823.2421875]",83.79,鎮静系
1750741962.2358525,76,[800.78125],70.71,鎮静系
1750741963.2711754,75,"[785.15625, 846.6796875]",45.58,鎮静系
1750741964.261461,75,[846.6796875],33.79,鎮静系
1750741965.251935,75,[846.6796875],30.12,鎮静系
1750741966.2314258,74,[815.4296875],30.90,鎮静系
1750741967.2747502,73,[899.4140625],38.79,鎮静系
1750741969.2574637,72,[808.59375],48.16,鎮静系
1750741970.244527,72,[846.6796875],49.74,鎮静系
1750741971.2332087,72,[823.2421875],49.79,鎮静系
1750741972.269451,72,[823.2421875],49.51,鎮静系
1750741973.2628329,71,[892.578125],50.65,鎮静系
1750742155.2855985,75,"[815.4296875, 892.578125, 442.3828125, 876.953125]",364.00,鎮静系
1750742156.2766593,73,[991.2109375],320.36,鎮静系
1750742157.267965,69,[1006.8359375],286.63,鎮静系
1750742158.257893,65,[953.125],262.57,鎮静系
1750742159.2965372,63,[1021.484375],244.46,鎮静系
1750742160.285293,61,[968.75],229.43,鎮静系
1750742161.2729454,61,[907.2265625],217.28,鎮静系
1750742162.265484,60,[937.5],215.99,鎮静系
1750742163.2862747,60,[846.6796875],158.27,鎮静系
1750742164.2910733,61,"[831.0546875, 884.765625]",54.43,鎮静系
1750742165.2813907,62,[808.59375],59.83,鎮静系
1750742166.270898,63,[754.8828125],59.83,鎮静系
1750742188.2764215,79,"[976.5625, 724.609375, 747.0703125, 815.4296875]",123.77,鎮静系
1750742189.2666996,79,[777.34375],120.68,鎮静系
1750742208.2881467,71,"[854.4921875, 838.8671875, 785.15625, 823.2421875, 876.953125]",96.34,鎮静系
1750742209.2825723,71,[907.2265625],48.26,鎮静系
1750742210.2803795,71,[884.765625],48.26,鎮静系
1750742222.2859936,74,"[815.4296875, 785.15625, 815.4296875, 785.15625]",42.42,鎮静系
1750742223.2852848,75,[792.96875],38.55,鎮静系
1750742224.2765143,75,[846.6796875],40.56,鎮静系
1750742225.2666137,74,[648.4375],75.44,鎮静系
1750742238.271682,74,"[861.328125, 846.6796875, 823.2421875, 846.6796875]",100.40,鎮静系
1750742239.3050323,73,[861.328125],100.01,鎮静系
1750742240.3399239,70,[800.78125],101.52,鎮静系
1750742241.3303692,70,[663.0859375],111.39,鎮静系
1750742242.2765288,70,[945.3125],144.69,鎮静系
1750742243.2671201,70,[899.4140625],129.63,鎮静系
1750742244.2967625,70,[800.78125],113.35,鎮静系
1750742245.2857025,71,[1090.8203125],148.90,鎮静系
1750742266.298229,92,"[678.7109375, 838.8671875, 899.4140625, 945.3125]",209.72,鎮静系
1750742267.3396037,90,[991.2109375],205.20,鎮静系
1750742268.3289979,89,[999.0234375],182.39,鎮静系
